id,click,hour,banner_pos,device_id,device_ip,device_model,device_conn_type,C14,C17,C20,C21,pub_id,pub_domain,pub_category,device_id_count,device_ip_count,user_count,smooth_user_hour_count,user_click_histroy
1000009418151094273,0,14102100,0,a99f214a,ddd2926e,44956a24,2,15706,1722,-1,79,1fbe01fe,f3845767,28905ebd,5220,48,12,12,
10000169349117863715,0,14102100,0,a99f214a,96809ac8,711ee120,0,15704,1722,100084,79,1fbe01fe,f3845767,28905ebd,5220,12,12,12,
10000371904215119486,0,14102100,0,a99f214a,b3cf8def,8a4875bd,0,15704,1722,100084,79,1fbe01fe,f3845767,28905ebd,5220,12,12,12,
10000640724480838376,0,14102100,0,a99f214a,e8275b8f,6332421a,0,15706,1722,100084,79,1fbe01fe,f3845767,28905ebd,5220,12,12,12,
10000679056417042096,0,14102100,1,a99f214a,9644d0bf,779d90c2,0,18993,2161,-1,157,fe8cc448,9166c161,0569f928,5220,12,12,12,
10000720757801103869,0,14102100,0,a99f214a,05241af0,8a4875bd,0,16920,1899,100077,117,d6137915,bb1ef334,f028772b,5220,12,12,12,
10000724729988544911,0,14102100,0,a99f214a,b264c159,be6db1d7,0,20362,2333,-1,157,8fda644b,25d4cfcd,f028772b,5220,12,12,12,
10000918755742328737,0,14102100,1,a99f214a,e6f67278,be74e6fe,0,20632,2374,-1,23,e151e245,7e091613,f028772b,5220,12,12,12,
10000949271186029916,1,14102100,0,a99f214a,37e8da74,5db079b5,2,15707,1722,-1,79,1fbe01fe,f3845767,28905ebd,5220,12,12,12,
10001264480619467364,0,14102100,0,c357dbff,f1ac7184,373ecbe6,0,21689,2496,100191,23,84c7ba46,c4e18dd6,50e219e0,24,12,24,24,
10001868339616595934,0,14102100,1,a99f214a,5d877109,8f5c9827,0,17747,1974,100019,33,e151e245,7e091613,f028772b,5220,12,12,12,
10001966791793526909,0,14102100,0,a99f214a,6f407810,1f0bc64f,0,15701,1722,-1,79,1fbe01fe,f3845767,28905ebd,5220,12,12,12,
10002028568167339219,0,14102100,0,a99f214a,58811cdf,8326c04b,2,20596,2161,100148,157,9e8cf15d,0d3cb7be,f028772b,5220,12,12,12,
10002044883120869786,0,14102100,0,a99f214a,72aab6df,04258293,0,19771,2227,100077,48,d6137915,bb1ef334,f028772b,5220,12,12,12,
10003539039235338011,0,14102100,0,a99f214a,a4f47b2e,8a4875bd,0,15699,1722,100084,79,1fbe01fe,f3845767,28905ebd,5220,12,12,12,
10003585669470236873,0,14102100,0,a99f214a,9b1fe278,128f4ba1,0,17914,2043,-1,32,d9750ee7,98572c79,f028772b,5220,12,12,12,
10004105575081229495,0,14102100,0,a99f214a,c26c53cf,be87996b,2,15708,1722,100084,79,1fbe01fe,f3845767,28905ebd,5220,12,12,12,
