id,click,hour,banner_pos,device_id,device_ip,device_model,device_conn_type,C14,C17,C20,C21,pub_id,pub_domain,pub_category,device_id_count,device_ip_count,user_count,smooth_user_hour_count,user_click_histroy
10002518649031436658,0,14102100,0,a99f214a,6dec2796,aad45b01,0,20984,2371,-1,46,98fed791,d9b5648e,0f2161f8,5220,12,12,12,
10004482643316086592,0,14102100,0,a99f214a,fa60af6b,b4b19c97,0,21234,2434,100088,61,66a5f0f3,d9b5648e,cef3e649,5220,12,12,12,
10005334911727438633,0,14102100,1,fb23c543,69890c7f,9fef9da8,0,21665,2493,-1,117,ffc6ffd0,7801e8d9,0f2161f8,12,12,12,12,
10005609489911213467,1,14102100,0,9af87478,2a2bfc89,ecf10acf,0,21611,2480,100111,61,54c5d545,2347f47a,0f2161f8,12,12,12,12,
10006192453619779489,0,14102100,0,6a943594,8a014cbb,81b42528,3,15708,1722,-1,79,685d1c4c,2347f47a,8ded1f7a,12,24,12,12,
10006777279679619273,0,14102100,0,4b2309e9,22c2dcf4,d6e0e6ff,3,18987,2158,100193,61,d2bb6502,2347f47a,8ded1f7a,12,12,12,12,
10006958186789044052,1,14102100,0,a99f214a,ce6e6bbd,2cd8ff6d,0,18993,2161,100034,157,0acbeaa3,45a51db4,f95efa07,5220,12,12,12,
10007768440836622373,0,14102100,0,432cd280,45919d0d,1ccc7835,0,15708,1722,-1,79,e2a1ca37,2347f47a,8ded1f7a,24,24,24,24,
10007830732992705885,0,14102100,1,890abcbb,9f02f646,e8c7729d,0,21665,2493,-1,117,a607e6a7,7801e8d9,0f2161f8,12,12,12,12,
10009807995169380879,0,14102100,0,a99f214a,554d9f5f,36a30aeb,0,15705,1722,100084,79,396df801,2347f47a,0f2161f8,5220,12,12,12,
10009910814812262951,1,14102100,0,a99f214a,f8c8df20,be87996b,2,18993,2161,100131,157,a079ef6b,2347f47a,75d80bbe,5220,12,12,12,
1001082718558099372,0,14102100,0,a99f214a,5a96d22e,9e3836ff,0,18993,2161,-1,157,1779deee,2347f47a,f95efa07,5220,12,12,12,
10010966574628106108,1,14102100,0,a99f214a,061893d4,68b900d9,0,20596,2161,100034,157,0acbeaa3,45a51db4,f95efa07,5220,12,12,12,
10011650513707909570,0,14102100,0,a99f214a,1ce4451d,99e427c9,0,21611,2480,100111,61,febd1138,82e27996,0f2161f8,5220,12,12,12,
10013493678511778479,0,14102100,0,a2cbb1e0,d784a354,9f8d0424,2,18993,2161,-1,157,39947756,2347f47a,cef3e649,12,12,12,12,
10013552540914034684,0,14102100,0,a99f214a,c21a1e56,89416188,0,4687,423,100148,32,e2fcccd2,5c5a694b,0f2161f8,5220,12,12,12,
1001378691598807810,0,14102100,0,1ab3feec,c45c8256,8debacdb,0,21691,2495,-1,23,a37bf1e4,7801e8d9,07d7df22,12,12,12,12,
10013840276980995258,0,14102100,0,a99f214a,07533d06,76dc4769,0,4687,423,100148,32,e2fcccd2,5c5a694b,0f2161f8,5220,12,12,12,
10014190212266331300,1,14102100,0,a99f214a,ed9450c2,1f0bc64f,0,20633,2374,-1,23,9c13b419,2347f47a,f95efa07,5220,12,12,12,
10014887683839786798,1,14102100,0,a99f214a,fac78767,84ebbcd4,0,4687,423,100148,32,e2fcccd2,5c5a694b,0f2161f8,5220,12,12,12,
10015140740686523448,0,14102100,0,a99f214a,2d227840,9b5ce758,0,21611,2480,100111,61,c51f82bc,d9b5648e,0f2161f8,5220,12,12,12,
1001656469156757818,0,14102100,0,1d5b4c5e,35d885a4,c4cff2ea,3,20596,2161,-1,157,39947756,2347f47a,cef3e649,12,12,12,12,
10016873305752157334,0,14102100,1,a167aa83,af0dd4ba,158e4944,0,21665,2493,100050,117,ffc6ffd0,7801e8d9,0f2161f8,12,12,12,12,
10017024728538959689,0,14102100,0,a99f214a,68e496ca,ad0ecb0d,2,20596,2161,100034,157,0acbeaa3,45a51db4,f95efa07,5220,12,12,12,
10017306529805473196,0,14102100,0,a99f214a,4e5378c0,99e427c9,0,19743,2264,100000,61,febd1138,82e27996,0f2161f8,5220,12,12,12,
10017356694683044868,0,14102100,0,a99f214a,d3e691e0,aa35da31,0,18993,2161,-1,157,1779deee,2347f47a,f95efa07,5220,12,12,12,
10018255614280682659,0,14102100,0,b45aada4,ceebd3eb,5096d134,2,21611,2480,100111,61,39947756,2347f47a,cef3e649,12,12,12,12,
10018563981679953217,0,14102100,0,a99f214a,8e9fa84b,f5da7bc4,0,17661,1996,100057,71,8bfb92e0,7801e8d9,07d7df22,5220,12,12,12,
1002011100077878004,0,14102100,1,3b4d9b97,80bf40be,f07e20f8,0,21665,2493,-1,117,ffc6ffd0,7801e8d9,0f2161f8,12,12,12,12,
10021516630479124436,0,14102100,0,a99f214a,f9d55cdb,c4cff2ea,0,17875,2036,-1,156,680e6a92,2347f47a,0f2161f8,5220,12,12,12,
10022961149355219548,0,14102100,0,bd7c02a1,51197d98,2203a096,0,4687,423,100148,32,e2fcccd2,5c5a694b,0f2161f8,12,12,12,12,
10023200351270366469,0,14102100,0,a99f214a,080e8b1d,3bc980aa,0,20596,2161,-1,157,1779deee,2347f47a,f95efa07,5220,12,12,12,
10023836977405174778,0,14102100,0,a99f214a,8fec7bcf,034b811d,0,4687,423,100148,32,e2fcccd2,5c5a694b,0f2161f8,5220,12,12,12,
10025131253983159562,0,14102100,0,31f9b704,8b42429f,e9b8d8d7,0,6563,572,-1,32,54c5d545,2347f47a,0f2161f8,12,12,12,12,
10025633842336165171,0,14102100,1,a7420ec6,2f84375e,1df52df3,0,21665,2493,-1,117,8c0dcd5a,7801e8d9,0f2161f8,12,12,12,12,
10028158991193694000,0,14102100,0,a99f214a,658adfe3,56f23684,2,20596,2161,-1,157,090d3a47,0654b444,0f2161f8,5220,12,12,12,
1002948443498545577,0,14102100,0,a99f214a,ab9a5222,2ee63ff8,0,20596,2161,-1,157,1779deee,2347f47a,f95efa07,5220,12,12,12,
10031105082914135462,0,14102100,0,ac49f12d,afbca787,b4920c7e,2,21611,2480,100111,61,39947756,2347f47a,cef3e649,12,12,12,12,
