id,click,hour,banner_pos,device_id,device_ip,device_model,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,pub_id,pub_domain,pub_category,device_id_cnt,device_ip_cnt,user_cnt,user_hour_cnt,user_click_history,sp1_cnt,user_click_history2
10285207160662611273,0,14102100,0,c810e66f,8dd2770e,3bc980aa,1,3,1005,20352,320,50,2333,0,39,-1,157,3d3198ca,2347f47a,0f2161f8,2,2,2,1,,1,
10342888983560378915,0,14102100,1,bcdeb037,0bf20001,d4897fef,4,0,1010,21665,320,50,2493,3,35,-1,117,f2f00701,7801e8d9,0f2161f8,1,1,1,1,,1,
10428699188697611854,0,14102100,0,dc4aa6fc,856a967a,34d5fa08,1,2,1005,20596,320,50,2161,0,35,-1,157,39947756,2347f47a,cef3e649,1,1,1,1,,1,
10513581198842246238,0,14102100,0,1fc5413e,a8545966,a9ccc279,1,2,1005,18993,320,50,2161,0,35,-1,157,39947756,2347f47a,cef3e649,1,1,1,1,,1,
10539255602161596672,0,14102100,1,d67b0c78,4c6d2ce3,f07e20f8,4,0,1010,21665,320,50,2493,3,35,-1,117,f7dd00ec,7801e8d9,0f2161f8,1,1,1,1,,1,
10700076943942510938,0,14102100,0,b0cd0fe8,dc214cd3,869a693c,1,0,1005,21611,320,50,2480,3,297,100111,61,6b24506e,ae637522,cef3e649,1,1,1,1,,1,
10780800287463745033,0,14102100,1,cbf8b167,3878d15a,f07e20f8,4,0,1010,21665,320,50,2493,3,35,-1,117,ffc6ffd0,7801e8d9,0f2161f8,1,1,1,1,,1,
1091345577028948601,0,14102100,1,ce1d7fc9,8f4581ab,3bd9e8e7,4,0,1010,21665,320,50,2493,3,35,-1,117,8c0dcd5a,7801e8d9,0f2161f8,1,1,1,1,,1,
11248587252547290800,0,14102100,0,d3dafb24,4320548d,2cd8ff6d,1,2,1005,20596,320,50,2161,0,35,-1,157,bbcfa7a2,b9528b13,cef3e649,1,1,1,1,,1,
11402711540646094191,1,14102100,1,514cb2e9,1de709e1,ecb851b2,4,3,1010,1276,320,50,196,3,303,-1,15,44ee0091,7801e8d9,0f2161f8,1,1,1,1,,1,
11480854230332105079,1,14102100,1,59c27f1f,7b9b0a68,f07e20f8,4,0,1010,21311,320,50,2449,0,163,100241,91,c776ba2a,7801e8d9,0f2161f8,1,1,1,1,,1,
11564017957784655434,0,14102100,0,0028c8f7,46603a01,1f0bc64f,1,2,1005,454,320,50,122,3,1319,100130,15,be7c618d,2347f47a,f95efa07,1,1,1,1,,1,
11674595332042946052,0,14102100,0,b62c8b7c,730b98ce,2573dd72,1,0,1005,21611,320,50,2480,3,297,100111,61,54c5d545,2347f47a,0f2161f8,1,1,1,1,,1,
12224430375387038705,1,14102100,0,38dbbb64,2b627973,c9a7ccb1,1,3,1005,20015,300,250,2284,3,39,-1,23,388d9bfb,2347f47a,cef3e649,1,1,1,1,,1,
12253847259197911089,0,14102100,1,fb23c543,69890c7f,9fef9da8,4,0,1010,21665,320,50,2493,3,35,-1,117,ffc6ffd0,7801e8d9,0f2161f8,1,1,1,1,,1,
12825692175456854598,0,14102100,0,4b7cb171,890f6554,cad331da,1,2,1005,18993,320,50,2161,0,35,-1,157,ee31973c,f3ad7798,cef3e649,1,1,1,1,,1,
13195970958438280572,0,14102100,0,a3d873bc,83dd72f9,6f7a55d2,0,0,1002,21665,320,50,2493,3,35,-1,117,6b9f4aa8,7801e8d9,07d7df22,2,2,2,1,,1,
13440437925330783398,1,14102100,1,3029edfa,d8428e80,f07e20f8,4,0,1010,21665,320,50,2493,3,35,100043,117,a607e6a7,7801e8d9,0f2161f8,1,1,1,1,,1,
13887274116846638294,0,14102100,1,b5c6ef34,0dc081b3,be74e6fe,4,0,1010,21665,320,50,2493,3,35,-1,117,a607e6a7,7801e8d9,0f2161f8,1,1,1,1,,1,
14551367767074858834,0,14102100,0,80563fd9,4d2d587c,a5fbe35d,1,0,1005,21611,320,50,2480,3,297,100111,61,73206397,2347f47a,8ded1f7a,1,1,1,1,,1,
14947900551559556186,1,14102100,0,99772e4b,1c6fa4c2,08ac11ab,0,0,1002,21665,320,50,2493,3,35,-1,117,08a53ae7,7801e8d9,07d7df22,1,1,1,1,,1,
