id,click,hour,banner_pos,device_id,device_ip,device_model,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,pub_id,pub_domain,pub_category,device_id_cnt,device_ip_cnt,user_cnt,user_hour_cnt,user_click_history,sp1_cnt,user_click_history2
1057415883956723112,0,14102100,0,9c9d7a4f,956943c3,837b5bc8,1,2,1005,18993,320,50,2161,0,35,100034,157,d810ac64,2347f47a,cef3e649,1,1,1,1,,1,
10608191130445736651,0,14102100,0,a8e95558,e9db1c5c,9e3836ff,1,3,1005,20596,320,50,2161,0,35,100205,157,f4510c5e,b9528b13,cef3e649,1,1,1,1,,1,
10735524698303942954,0,14102100,0,93ca2a0f,9fbd5613,5096d134,1,2,1005,18934,320,50,1926,2,39,-1,13,a0197849,2347f47a,8ded1f7a,1,1,1,1,,1,
10801217639409768072,0,14102100,0,625c3d26,f6127760,8debacdb,0,0,1002,21687,320,50,2495,2,167,-1,23,a37bf1e4,7801e8d9,07d7df22,1,1,1,1,,1,
108327722970797691,1,14102100,1,9809e6c9,69e76b72,60eb1f19,4,0,1010,20362,320,50,2333,0,39,-1,157,aecfd81b,7801e8d9,0f2161f8,1,1,1,1,,1,
11976003398334429698,0,14102100,0,05e9b695,4d6a1243,d6e0e6ff,1,2,1005,20596,320,50,2161,0,35,100148,157,39947756,2347f47a,cef3e649,1,1,1,1,,1,
12176078622531785164,0,14102100,0,451361f4,ba272c26,d0d00b4a,1,3,1005,16858,320,50,1887,3,39,-1,23,3d3198ca,2347f47a,0f2161f8,1,1,1,1,,1,
12479485013900162701,0,14102100,0,bd90c0f3,4452c641,84eb6b0e,1,0,1005,21611,320,50,2480,3,297,100111,61,54c5d545,2347f47a,0f2161f8,1,1,1,1,,1,
12578814157247604501,0,14102100,0,63dc343a,485e4718,d4897fef,1,0,1005,16615,320,50,1863,3,39,-1,23,d8784af5,2347f47a,8ded1f7a,1,1,1,1,,1,
12614273088462030030,1,14102100,0,a4497761,7f124a35,23c526cf,0,0,1002,21665,320,50,2493,3,35,-1,117,9f41cdad,7801e8d9,07d7df22,2,2,2,1,0,1,
13276378933721976876,0,14102100,0,a07bca02,2d43e081,2891f384,1,3,1005,17163,320,50,1955,3,163,100189,71,39947756,2347f47a,cef3e649,1,2,1,1,,1,
14236724844758628871,0,14102100,0,5661cc5a,c2c6eeec,0a903d85,0,0,1002,15704,320,50,1722,0,35,-1,79,a37bf1e4,7801e8d9,07d7df22,2,2,2,1,,1,
14715106648046296192,0,14102100,1,e84bfcfa,430a667c,7abbbd5c,4,2,1010,21665,320,50,2493,3,35,100050,117,501eb75e,7801e8d9,0f2161f8,1,1,1,1,,1,
16050079485114867395,1,14102100,0,4826e847,e6d68a14,2891f384,1,0,1005,18987,320,50,2158,3,291,-1,61,f888bf4c,5b9c592b,0f2161f8,1,1,1,1,,1,
16116626667082647597,0,14102100,0,31abe159,85c7acd2,5096d134,1,0,1005,20596,320,50,2161,0,35,-1,157,7fd82f88,7801e8d9,0f2161f8,1,1,1,1,,1,
16181386787259882217,0,14102100,1,50c4ddcc,5252902e,7abbbd5c,4,0,1010,21665,320,50,2493,3,35,100050,117,c7f29df3,7801e8d9,0f2161f8,1,4,1,1,,1,
16352882153431922489,0,14102100,0,bed58114,6047ef1e,0eb711ec,1,2,1005,15708,320,50,1722,0,35,-1,79,685d1c4c,2347f47a,8ded1f7a,1,1,1,1,,1,
16622844511996976540,0,14102100,0,3cfdac0e,824caa85,7abbbd5c,1,0,1005,20361,300,250,2333,0,39,-1,157,ebdd474a,2347f47a,0f2161f8,2,2,2,2,,2,
16894890022269824348,0,14102100,0,61fbeb25,40fd413d,507b1b8b,1,3,1005,18993,320,50,2161,0,35,-1,157,39947756,2347f47a,cef3e649,1,1,1,1,,1,
1748896440747482813,1,14102100,0,5045b0c5,e37ec7b9,be6db1d7,1,0,1005,6560,320,50,571,2,39,-1,32,e2a1ca37,2347f47a,8ded1f7a,1,1,1,1,,1,
17624004437727843771,0,14102100,0,6b173ea6,4d7b8668,0eb711ec,1,0,1005,6993,320,50,613,2,39,100233,32,54c5d545,2347f47a,0f2161f8,1,1,1,1,,1,
17798869639070524074,1,14102100,1,2992f8e3,017d993c,a0f5f879,4,0,1010,21665,320,50,2493,3,35,-1,117,c7f29df3,7801e8d9,0f2161f8,1,6,1,1,,1,
17860340647942672359,0,14102100,1,8a1d8aae,00fd0c59,7abbbd5c,4,2,1010,21665,320,50,2493,3,35,-1,117,501eb75e,7801e8d9,0f2161f8,1,1,1,1,,1,
18254358361352644887,0,14102100,1,25e73628,d7081134,9e6d3278,4,0,1010,21665,320,50,2493,3,35,-1,117,8486dd4e,7801e8d9,0f2161f8,1,1,1,1,,1,
18412734989688458290,0,14102100,1,e8440dbf,faf88094,f07e20f8,4,0,1010,21665,320,50,2493,3,35,-1,117,c7f29df3,7801e8d9,0f2161f8,2,2,2,1,,1,
2040994367175437927,0,14102100,0,38c8641d,c025f600,eb4d3131,0,0,1002,21661,320,50,2446,3,171,100228,156,4e02fbd3,7801e8d9,07d7df22,2,1,2,1,,1,
3392736022136329340,0,14102100,0,c9ce98f9,bf9122b4,2851200d,1,3,1005,15701,320,50,1722,0,35,-1,79,661aa3aa,2347f47a,8ded1f7a,2,1,2,1,,1,
3429194604244065927,0,14102100,0,242d6013,e908357b,aa35da31,1,0,1005,20382,320,50,1740,3,943,100060,100,cdfb6c82,2347f47a,8ded1f7a,1,1,1,1,,1,
4167992079434101140,0,14102100,0,f22a4cc0,7cda1fa0,1610002a,1,2,1005,20596,320,50,2161,0,35,100128,157,39947756,2347f47a,cef3e649,1,1,1,1,,1,
4362092156570214373,0,14102100,1,9484f990,2fba078f,09b4ab83,5,3,1010,1267,320,50,196,3,303,-1,15,e8a706a6,7801e8d9,0f2161f8,1,1,1,1,,1,
5925281222450660919,0,14102100,1,c02dee75,f4940235,f07e20f8,4,0,1010,21665,320,50,2493,3,35,100048,117,ffc6ffd0,7801e8d9,0f2161f8,1,1,1,1,,1,
6121142126851018444,0,14102100,1,104811b5,b69c2b49,7abbbd5c,4,0,1010,21665,320,50,2493,3,35,100013,117,a607e6a7,7801e8d9,0f2161f8,1,1,1,1,,1,
6186945586308015767,0,14102100,0,ea1b6a11,98298ccf,a95a3f86,1,3,1005,17212,320,50,1887,3,39,-1,23,3d3198ca,2347f47a,0f2161f8,1,1,1,1,,1,
6587407295670148124,0,14102100,0,4069d3da,45310f35,63c63c66,1,0,1007,17877,320,50,2036,3,47,-1,156,dc59eb14,d6feb1a4,cef3e649,1,1,1,1,,1,
6679627352796702777,0,14102100,0,7be3a9f5,30e05045,fce66524,1,0,1005,18936,320,50,1926,2,39,-1,13,e96166c7,2347f47a,0f2161f8,1,1,1,1,,1,
6876512426824118254,0,14102100,0,6d19075d,c5b29122,0b188ab3,1,0,1005,20596,320,50,2161,0,35,-1,157,7fd82f88,7801e8d9,0f2161f8,1,1,1,1,,1,
7322401231235712317,0,14102100,0,8fb01904,21484226,a0f5f879,1,0,1005,6559,320,50,571,2,39,-1,32,e2fcccd2,5c5a694b,0f2161f8,1,1,1,1,,1,
7608106219339150823,1,14102100,0,de07fcf1,790be709,158e4944,1,0,1005,20382,320,50,1740,3,943,100060,100,ef0ff655,2347f47a,8ded1f7a,1,1,1,1,,1,
7766048442080130985,0,14102100,1,644125d0,e28f5daf,f07e20f8,4,0,1010,21665,320,50,2493,3,35,100048,117,c7f29df3,7801e8d9,0f2161f8,1,1,1,1,,1,
7869693610371514121,0,14102100,1,4de722d9,a7f3ffed,f07e20f8,4,0,1010,21665,320,50,2493,3,35,-1,117,ffc6ffd0,7801e8d9,0f2161f8,2,10,2,1,0,1,
8073240966234949163,0,14102100,1,fc51ca94,aa9a0db4,fa61e8fe,4,0,1010,21665,320,50,2493,3,35,-1,117,c7f29df3,7801e8d9,0f2161f8,4,1,4,1,,1,
8638322836420177849,0,14102100,0,b308ae41,541e0daf,2cd8ff6d,1,0,1005,20751,320,50,1895,0,681,100028,101,3c4b944d,2347f47a,0f2161f8,1,1,1,1,,1,
9070092337035206799,0,14102100,0,0ba7afea,1db24306,25fbd8f1,1,0,1005,18993,320,50,2161,0,35,-1,157,7fd82f88,7801e8d9,0f2161f8,1,1,1,1,,1,
9569072735434689433,0,14102100,0,fbc88893,c751a265,73b4563d,1,2,1005,20361,300,250,2333,0,39,-1,157,c9480079,2347f47a,0f2161f8,1,1,1,1,,1,
9669937342998679363,0,14102100,0,f6505a59,2b1ada74,be6db1d7,1,0,1005,6559,320,50,571,2,39,100048,32,e2fcccd2,5c5a694b,0f2161f8,1,1,1,1,,1,
9739005726776000712,0,14102100,1,7732b317,24a8fcf3,7abbbd5c,4,0,1010,21665,320,50,2493,3,35,-1,117,a607e6a7,7801e8d9,0f2161f8,1,1,1,1,,1,
9770557511444584966,0,14102100,0,b5ea54f9,d3280123,56243372,1,0,1005,20633,320,50,2374,3,39,-1,23,41d703ea,2347f47a,8ded1f7a,1,1,1,1,,1,
