id,click,hour,banner_pos,device_id,device_ip,device_model,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,pub_id,pub_domain,pub_category,device_id_cnt,device_ip_cnt,user_cnt,user_hour_cnt,user_click_history,sp1_cnt,user_click_history2
10006192453619779489,0,14102100,0,6a943594,8a014cbb,81b42528,1,3,1005,15708,320,50,1722,0,35,-1,79,685d1c4c,2347f47a,8ded1f7a,12,12,12,12,,12,
10006777279679619273,0,14102100,0,4b2309e9,22c2dcf4,d6e0e6ff,1,3,1005,18987,320,50,2158,3,291,100193,61,d2bb6502,2347f47a,8ded1f7a,12,12,12,12,,12,
1001656469156757818,0,14102100,0,1d5b4c5e,35d885a4,c4cff2ea,1,3,1005,20596,320,50,2161,0,35,-1,157,39947756,2347f47a,cef3e649,12,12,12,12,,12,
10034295299322669964,0,14102100,1,30f17f5f,2df31c38,684581ce,4,3,1010,21310,320,50,2449,0,163,100106,91,03a08c3f,7801e8d9,0f2161f8,12,12,12,12,,12,
10035306195717534065,0,14102100,0,1c6dc527,9d7d5816,5096d134,1,3,1005,15706,320,50,1722,0,35,100084,79,39947756,2347f47a,cef3e649,12,12,12,12,,12,
10056162427008640965,0,14102100,0,bc47be9e,6b9769f2,1f0bc64f,1,3,1005,15708,320,50,1722,0,35,-1,79,387bdb33,2347f47a,0f2161f8,12,12,12,12,,12,
10006192453619779489,0,14102100,0,6a943594,8a014cbb,81b42528,1,3,1005,15708,320,50,1722,0,35,-1,79,685d1c4c,2347f47a,8ded1f7a,12,12,12,12,,12,
10006777279679619273,0,14102100,0,4b2309e9,22c2dcf4,d6e0e6ff,1,3,1005,18987,320,50,2158,3,291,100193,61,d2bb6502,2347f47a,8ded1f7a,12,12,12,12,,12,
1001656469156757818,0,14102100,0,1d5b4c5e,35d885a4,c4cff2ea,1,3,1005,20596,320,50,2161,0,35,-1,157,39947756,2347f47a,cef3e649,12,12,12,12,,12,
10034295299322669964,0,14102100,1,30f17f5f,2df31c38,684581ce,4,3,1010,21310,320,50,2449,0,163,100106,91,03a08c3f,7801e8d9,0f2161f8,12,12,12,12,,12,
10035306195717534065,0,14102100,0,1c6dc527,9d7d5816,5096d134,1,3,1005,15706,320,50,1722,0,35,100084,79,39947756,2347f47a,cef3e649,12,12,12,12,,12,
10056162427008640965,0,14102100,0,bc47be9e,6b9769f2,1f0bc64f,1,3,1005,15708,320,50,1722,0,35,-1,79,387bdb33,2347f47a,0f2161f8,12,12,12,12,,12,
10006192453619779489,0,14102100,0,6a943594,8a014cbb,81b42528,1,3,1005,15708,320,50,1722,0,35,-1,79,685d1c4c,2347f47a,8ded1f7a,12,12,12,12,,12,
10006777279679619273,0,14102100,0,4b2309e9,22c2dcf4,d6e0e6ff,1,3,1005,18987,320,50,2158,3,291,100193,61,d2bb6502,2347f47a,8ded1f7a,12,12,12,12,,12,
1001656469156757818,0,14102100,0,1d5b4c5e,35d885a4,c4cff2ea,1,3,1005,20596,320,50,2161,0,35,-1,157,39947756,2347f47a,cef3e649,12,12,12,12,,12,
10034295299322669964,0,14102100,1,30f17f5f,2df31c38,684581ce,4,3,1010,21310,320,50,2449,0,163,100106,91,03a08c3f,7801e8d9,0f2161f8,12,12,12,12,,12,
10035306195717534065,0,14102100,0,1c6dc527,9d7d5816,5096d134,1,3,1005,15706,320,50,1722,0,35,100084,79,39947756,2347f47a,cef3e649,12,12,12,12,,12,
10056162427008640965,0,14102100,0,bc47be9e,6b9769f2,1f0bc64f,1,3,1005,15708,320,50,1722,0,35,-1,79,387bdb33,2347f47a,0f2161f8,12,12,12,12,,12,
10006192453619779489,0,14102100,0,6a943594,8a014cbb,81b42528,1,3,1005,15708,320,50,1722,0,35,-1,79,685d1c4c,2347f47a,8ded1f7a,12,12,12,12,,12,
10006777279679619273,0,14102100,0,4b2309e9,22c2dcf4,d6e0e6ff,1,3,1005,18987,320,50,2158,3,291,100193,61,d2bb6502,2347f47a,8ded1f7a,12,12,12,12,,12,
1001656469156757818,0,14102100,0,1d5b4c5e,35d885a4,c4cff2ea,1,3,1005,20596,320,50,2161,0,35,-1,157,39947756,2347f47a,cef3e649,12,12,12,12,,12,
10034295299322669964,0,14102100,1,30f17f5f,2df31c38,684581ce,4,3,1010,21310,320,50,2449,0,163,100106,91,03a08c3f,7801e8d9,0f2161f8,12,12,12,12,,12,
10035306195717534065,0,14102100,0,1c6dc527,9d7d5816,5096d134,1,3,1005,15706,320,50,1722,0,35,100084,79,39947756,2347f47a,cef3e649,12,12,12,12,,12,
10056162427008640965,0,14102100,0,bc47be9e,6b9769f2,1f0bc64f,1,3,1005,15708,320,50,1722,0,35,-1,79,387bdb33,2347f47a,0f2161f8,12,12,12,12,,12,
10006192453619779489,0,14102100,0,6a943594,8a014cbb,81b42528,1,3,1005,15708,320,50,1722,0,35,-1,79,685d1c4c,2347f47a,8ded1f7a,12,12,12,12,,12,
10006777279679619273,0,14102100,0,4b2309e9,22c2dcf4,d6e0e6ff,1,3,1005,18987,320,50,2158,3,291,100193,61,d2bb6502,2347f47a,8ded1f7a,12,12,12,12,,12,
1001656469156757818,0,14102100,0,1d5b4c5e,35d885a4,c4cff2ea,1,3,1005,20596,320,50,2161,0,35,-1,157,39947756,2347f47a,cef3e649,12,12,12,12,,12,
10034295299322669964,0,14102100,1,30f17f5f,2df31c38,684581ce,4,3,1010,21310,320,50,2449,0,163,100106,91,03a08c3f,7801e8d9,0f2161f8,12,12,12,12,,12,
10035306195717534065,0,14102100,0,1c6dc527,9d7d5816,5096d134,1,3,1005,15706,320,50,1722,0,35,100084,79,39947756,2347f47a,cef3e649,12,12,12,12,,12,
