id,click,hour,banner_pos,device_id,device_ip,device_model,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,pub_id,pub_domain,pub_category,device_id_cnt,device_ip_cnt,user_cnt,user_hour_cnt,user_click_history,sp1_cnt,user_click_history2
10608191130445736651,0,14102100,0,a8e95558,e9db1c5c,9e3836ff,1,3,1005,20596,320,50,2161,0,35,100205,157,f4510c5e,b9528b13,cef3e649,1,1,1,1,,1,
12176078622531785164,0,14102100,0,451361f4,ba272c26,d0d00b4a,1,3,1005,16858,320,50,1887,3,39,-1,23,3d3198ca,2347f47a,0f2161f8,1,1,1,1,,1,
13276378933721976876,0,14102100,0,a07bca02,2d43e081,2891f384,1,3,1005,17163,320,50,1955,3,163,100189,71,39947756,2347f47a,cef3e649,1,31,1,1,,1,
16894890022269824348,0,14102100,0,61fbeb25,40fd413d,507b1b8b,1,3,1005,18993,320,50,2161,0,35,-1,157,39947756,2347f47a,cef3e649,1,1,1,1,,1,
3392736022136329340,0,14102100,0,c9ce98f9,bf9122b4,2851200d,1,3,1005,15701,320,50,1722,0,35,-1,79,661aa3aa,2347f47a,8ded1f7a,2,1,2,1,,1,
4362092156570214373,0,14102100,1,9484f990,2fba078f,09b4ab83,5,3,1010,1267,320,50,196,3,303,-1,15,e8a706a6,7801e8d9,0f2161f8,1,1,1,1,,1,
6186945586308015767,0,14102100,0,ea1b6a11,98298ccf,a95a3f86,1,3,1005,17212,320,50,1887,3,39,-1,23,3d3198ca,2347f47a,0f2161f8,1,1,1,1,,1,
9905750243336542701,0,14102100,1,894fcefa,e6a15471,329c70fc,4,3,1010,21665,320,50,2493,3,35,-1,117,49227c50,7801e8d9,0f2161f8,1,1,1,1,,1,
11226766239297472620,0,14102101,0,1d2d6807,c855f59d,43617dfa,1,3,1005,15702,320,50,1722,0,35,-1,79,d2bb6502,2347f47a,8ded1f7a,2,4,2,1,0,1,
14088823472801938615,0,14102101,0,5b52e267,05505051,33c9c797,1,3,1005,15704,320,50,1722,0,35,100083,79,685d1c4c,2347f47a,8ded1f7a,1,1,1,1,,1,
15972617327572464462,0,14102101,0,227d6c97,68645c97,ef726eae,1,3,1005,17163,320,50,1955,3,163,100189,71,39947756,2347f47a,cef3e649,1,2,1,1,,1,
17743523938495408958,0,14102101,1,8f2a4c2e,b9a10df5,f07e20f8,4,3,1010,20751,320,50,1895,0,681,100028,101,03a08c3f,7801e8d9,0f2161f8,1,1,1,1,,1,
17917839466876189495,1,14102101,0,11fcbb87,97373d62,dc70b0f9,1,3,1005,12000,320,50,1248,2,39,100068,13,c1d5c84d,2347f47a,0f2161f8,1,1,1,1,,1,
18172494719698476323,0,14102101,0,0b3d2d27,82377eb2,7abbbd5c,1,3,1005,377,320,50,112,3,1319,-1,15,be7c618d,2347f47a,f95efa07,1,1,1,1,,1,
18319684983983524183,0,14102101,0,f8ba9b3e,bca8f26d,ef726eae,1,3,1005,15708,320,50,1722,0,35,-1,79,685d1c4c,2347f47a,8ded1f7a,1,4,1,1,,1,
2613971123730353951,0,14102101,0,88f93d5d,51b27ced,1d5bfd2d,1,3,1005,12000,320,50,1248,2,39,100124,13,be7c618d,2347f47a,f95efa07,1,1,1,1,,1,
3476329127353727284,0,14102101,0,230eef55,685efec8,d787e91b,1,3,1005,15707,320,50,1722,0,35,-1,79,685d1c4c,2347f47a,8ded1f7a,1,2,1,1,,1,
10948943252945187075,0,14102102,1,ed2986b8,c50c2201,f07e20f8,4,3,1010,21647,320,50,2487,1,547,-1,51,04f2be5f,7801e8d9,0f2161f8,1,1,1,1,,1,
12395052409281109594,0,14102102,0,6afce5a4,7357d5f1,40e56cdb,1,3,1005,15702,320,50,1722,0,35,-1,79,661aa3aa,2347f47a,8ded1f7a,1,7,1,1,,1,
16114022938012294708,0,14102102,0,78cafcd3,31023994,a53d68c3,1,3,1005,21647,320,50,2487,1,547,-1,51,ee31973c,f3ad7798,cef3e649,2,2,2,2,,1,
17254185063904707147,0,14102102,0,9afafb04,f2fb4532,779d90c2,1,3,1005,21647,320,50,2487,1,547,100020,51,39947756,2347f47a,cef3e649,1,1,1,1,,1,
1748876661295833006,0,14102102,0,5158b269,2478d8ec,abbd6ad1,1,3,1005,21647,320,50,2487,1,547,-1,51,39947756,2347f47a,cef3e649,1,1,1,1,,1,
17620530052045424952,0,14102102,0,e3aa93b8,5a35bc27,e8d6bd6d,1,3,1005,1272,320,50,196,3,303,-1,15,f4816d61,2347f47a,0f2161f8,1,1,1,1,,1,
1910103385087546284,0,14102102,0,f765372d,2de79872,9126c8d0,1,3,1005,16859,320,50,1887,3,39,100199,23,3d3198ca,2347f47a,0f2161f8,1,1,1,1,,1,
3370730250389612652,1,14102102,1,921662a4,1b8a0245,be74e6fe,4,3,1010,21647,320,50,2487,1,547,-1,51,0d50fd9b,7801e8d9,75d80bbe,1,1,1,1,,1,
3681598885498457862,1,14102102,0,12274ebc,362d5bc1,0838d155,1,3,1005,21647,320,50,2487,1,547,-1,51,8b89048f,2347f47a,cef3e649,1,1,1,1,,1,
4785845297148797761,0,14102102,1,23a30ab9,e30e04df,34d5fa08,4,3,1010,21647,320,50,2487,1,547,-1,51,04f2be5f,7801e8d9,0f2161f8,1,3,1,1,,1,
5224167559243037826,0,14102102,0,a5164df0,906e9b3b,9e3836ff,1,3,1005,17163,320,50,1955,3,163,100191,71,39947756,2347f47a,cef3e649,1,1,1,1,,1,
5960620567556142258,0,14102102,1,d13bf356,8a039d56,09b4ab83,5,3,1010,20362,320,50,2333,0,39,-1,157,e8a706a6,7801e8d9,0f2161f8,1,1,1,1,,1,
8293656825390002040,0,14102102,1,cee8900b,d9e0670b,fa61e8fe,4,3,1010,21664,320,50,2492,3,35,100050,43,49227c50,7801e8d9,0f2161f8,1,2,1,1,,1,
9297265753335540614,0,14102102,0,93890402,b4bfa4b7,89ccaeca,1,3,1005,21647,320,50,2487,1,547,-1,51,431a0d44,2347f47a,0f2161f8,1,1,1,1,,1,
9392362849273959230,0,14102102,0,cccd1c80,cd1f9bcb,5096d134,1,3,1005,21647,320,50,2487,1,547,-1,51,8b89048f,2347f47a,cef3e649,1,1,1,1,,1,
15057656297040924581,0,14102103,0,5d928752,a365ff5c,fae6e11e,1,3,1005,19251,320,50,2201,3,35,-1,43,39947756,2347f47a,cef3e649,1,1,1,1,,1,
16556314362991794157,0,14102103,0,a99f214a,d54c43b6,be6db1d7,1,3,1005,377,320,50,112,3,1319,100148,15,a4869716,2347f47a,d1327cf5,11954,1,1,1,,1,
17164046725292337977,1,14102103,0,782c9c8a,fa878412,d787e91b,1,3,1005,12000,320,50,1248,2,39,-1,13,be7c618d,2347f47a,f95efa07,1,1,1,1,,1,
3008262041564243044,0,14102103,0,f8a0b9e8,699f69bd,1b13b020,1,3,1005,12000,320,50,1248,2,39,-1,13,91033b24,2347f47a,0f2161f8,1,1,1,1,,1,
4762789350453571869,0,14102103,0,a99f214a,2475db35,fd4ee52d,1,3,1005,20596,320,50,2161,0,35,-1,157,170f5944,2347f47a,cef3e649,11954,1,1,1,,1,
4804718375820367155,0,14102103,0,ec12bd27,a8536f3a,1f0bc64f,1,3,1005,15701,320,50,1722,0,35,-1,79,bbcfa7a2,b9528b13,cef3e649,1,21,1,1,,1,
6268294705944158900,0,14102103,1,bea79ce4,35f589c9,ab09a89e,4,3,1010,21665,320,50,2493,3,35,-1,117,49227c50,7801e8d9,0f2161f8,1,1,1,1,,1,
8187753632753075331,0,14102103,0,a70247df,78a1b905,b3f4c8ce,1,3,1005,380,320,50,112,3,1319,-1,15,9b9e7ba0,2347f47a,0f2161f8,1,1,1,1,,1,
9113540969509696604,0,14102103,0,27b56505,43ae664d,8e6670d2,1,3,1005,19251,320,50,2201,3,35,-1,43,521b316b,2347f47a,0f2161f8,1,1,1,1,,1,
10164679951404166315,0,14102104,0,85d09437,946ccb43,00e71d3a,1,3,1005,21665,320,50,2493,3,35,-1,117,8b89048f,2347f47a,cef3e649,1,1,1,1,,1,
11267807472739303969,1,14102104,1,b7892b06,c8e617a7,f07e20f8,5,3,1010,20362,320,50,2333,0,39,-1,157,c6eb993a,7801e8d9,0f2161f8,1,1,1,1,,1,
11447880555020659893,0,14102104,0,c46543ab,0580035f,cb82c508,1,3,1005,21665,320,50,2493,3,35,100172,117,be7c618d,2347f47a,f95efa07,1,1,1,1,,1,
12931091791105387543,0,14102104,0,5aff97b9,ffb9a9a0,d787e91b,1,3,1005,19251,320,50,2201,3,35,100171,43,39947756,2347f47a,cef3e649,1,1,1,1,,1,
13205171225502173617,0,14102104,0,0a9e7754,fbc6b4de,9e3836ff,1,3,1005,20596,320,50,2161,0,35,-1,157,06f8745c,2347f47a,75d80bbe,1,1,1,1,,1,
13394991423318610589,0,14102104,0,9fe5c014,4ba9934c,84ebbcd4,1,3,1005,21665,320,50,2493,3,35,-1,117,8b89048f,2347f47a,cef3e649,1,1,1,1,,1,
13500431903313451699,0,14102104,0,ec348e6f,a7094fd1,2c85d13a,1,3,1005,12000,320,50,1248,2,39,-1,13,be7c618d,2347f47a,f95efa07,1,1,1,1,,1,
13514817199681012544,0,14102104,0,f6717b67,5f617512,07bb0685,1,3,1005,19251,320,50,2201,3,35,100020,43,39947756,2347f47a,cef3e649,2,2,2,2,,2,
14832504518399679032,0,14102104,0,c47c0cc4,32900e70,31f63ca2,1,3,1005,19251,320,50,2201,3,35,-1,43,39947756,2347f47a,cef3e649,1,1,1,1,,1,
14987047426213780840,0,14102104,0,888c7f2c,eb83e0b4,b3f4c8ce,1,3,1005,19251,320,50,2201,3,35,-1,43,39947756,2347f47a,cef3e649,1,1,1,1,,1,
16166501726237125713,0,14102104,0,d3cad0ed,864cb6b6,5096d134,1,3,1005,21689,320,50,2496,3,167,-1,23,8b89048f,2347f47a,cef3e649,1,1,1,1,,1,
2033457955492569497,0,14102104,0,a99f214a,c9bfb0ce,981edffc,1,3,1005,20476,320,50,2348,3,427,100004,61,22c962a1,ae637522,0f2161f8,11954,2,1,1,,1,
3945845274208008803,0,14102104,0,7e38d993,6ff929ca,1d5bfd2d,1,3,1005,12000,320,50,1248,2,39,-1,13,be7c618d,2347f47a,f95efa07,1,1,1,1,,1,
4472992380091973147,1,14102104,1,7bbf9d38,2299f169,3bd9e8e7,4,3,1010,12471,320,50,1272,3,303,100188,15,73711753,7801e8d9,0f2161f8,1,1,1,1,,1,
4945568754860531577,1,14102104,0,791d9927,f7853e5a,0b188ab3,1,3,1005,1268,320,50,196,3,303,-1,15,6099c54a,2347f47a,0f2161f8,1,3,1,1,,1,
6810745032075530144,0,14102104,0,fead8656,f9dde468,ef726eae,1,3,1005,15707,320,50,1722,0,35,100083,79,685d1c4c,2347f47a,8ded1f7a,1,1,1,1,,1,
9644804589463557862,0,14102104,0,7166f9fd,d0d4316f,c02433d4,1,3,1005,17212,320,50,1887,3,39,-1,23,3d3198ca,2347f47a,0f2161f8,3,1,3,1,0,1,
11748340486497229887,0,14102105,0,a99f214a,858583d3,0bcabeaf,1,3,1005,21660,320,50,2446,3,171,100228,156,de23f149,ae637522,0f2161f8,11954,1,1,1,,1,
11952958833365940699,0,14102105,0,fa05bc04,11db57ff,1f0bc64f,1,3,1005,19251,320,50,2201,3,35,100210,43,2a5a7c9d,2347f47a,0f2161f8,1,1,1,1,,1,
12109083647943109182,0,14102105,0,a08449ea,50d31fe1,ae9559c5,1,3,1005,21664,320,50,2492,3,35,-1,43,8b89048f,2347f47a,cef3e649,1,1,1,1,,1,
