id,click,hour,banner_pos,device_id,device_ip,device_model,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,pub_id,pub_domain,pub_category,device_id_cnt,device_ip_cnt,user_cnt,user_hour_cnt,user_click_history,sp1_cnt,user_click_history2
10001264480619467364,0,14102100,0,c357dbff,f1ac7184,373ecbe6,0,0,1002,21689,320,50,2496,3,167,100191,23,84c7ba46,c4e18dd6,50e219e0,24,12,24,24,,12,
10007847530896919634,1,14102100,0,767a174e,3e805b2a,cf19f7f7,0,0,1002,21661,320,50,2446,3,171,100228,156,84c7ba46,c4e18dd6,50e219e0,12,12,12,12,,12,
10014285064795240866,1,14102100,0,c357dbff,06f76b24,373ecbe6,0,0,1002,21682,320,50,2496,3,167,100191,23,84c7ba46,c4e18dd6,50e219e0,24,12,24,24,,12,
10018076683759767024,1,14102100,0,e62f1261,7b485f88,cf19f7f7,0,0,1002,21300,320,50,2446,3,171,100228,156,84c7ba46,c4e18dd6,50e219e0,12,12,12,12,,12,
10018283997673108970,0,14102100,0,03cb167d,3414a157,cf6e17c1,0,0,1002,21665,320,50,2493,3,35,-1,117,75f43c5a,c4e18dd6,50e219e0,12,12,12,12,,12,
10019805607671159208,0,14102100,0,8a869341,b5578fdc,cf19f7f7,0,0,1002,21300,320,50,2446,3,171,100228,156,84c7ba46,c4e18dd6,50e219e0,12,12,12,12,,12,
10024331030544393307,1,14102100,0,2ad16ba3,fb055d92,c978d6f5,0,0,1002,6616,320,50,576,2,35,100131,32,f727f4e0,fcb30e54,50e219e0,12,12,12,12,,12,
10024365483589149864,0,14102100,0,9906e40c,e7a1751e,43e7b962,0,0,1002,20170,300,50,2312,0,167,-1,16,ec1aa5a1,42fb0c49,50e219e0,12,12,12,12,,12,
10024810769855576624,1,14102100,0,df373817,73d211e5,cf19f7f7,0,0,1002,21660,320,50,2446,3,171,100228,156,84c7ba46,c4e18dd6,50e219e0,12,12,12,12,,12,
10030114320949150367,0,14102100,0,bd544220,661b3005,43e7b962,0,0,1002,20170,300,50,2312,0,167,100075,16,ef5ed6b8,fa41b2d8,50e219e0,12,12,12,12,,12,
10032540532403997701,1,14102100,0,175e2558,4655c5a2,a9b05547,0,0,1002,17081,320,50,1921,3,47,-1,23,763a42b5,4c26e9ba,50e219e0,12,12,12,12,,12,
10041012542541284799,0,14102100,0,7d98887a,d4cc16fe,a12e847c,0,0,1002,21688,320,50,2496,3,167,100075,23,7549fe4f,1e0acfb4,50e219e0,12,12,12,12,,12,
10055700314239054561,1,14102100,0,598b6ac9,d4bc1cbc,cf19f7f7,0,0,1002,21661,320,50,2446,3,171,100228,156,84c7ba46,c4e18dd6,50e219e0,12,12,12,12,,12,
10058543072676826255,1,14102100,0,2c01b6dc,07a01ee8,cf19f7f7,0,0,1002,21660,320,50,2446,3,171,100228,156,84c7ba46,c4e18dd6,50e219e0,12,12,12,12,,12,
10059634027417120074,0,14102100,0,665bffed,a0fcd541,5be1ba3d,0,0,1002,19665,320,50,2253,2,303,100221,52,2c4ed2f7,c4e18dd6,50e219e0,12,12,12,12,,12,
10067609744031003538,0,14102100,0,3c0208dc,d501395f,911a3c09,0,0,1002,21689,320,50,2496,3,167,-1,23,a1b948b8,79cf0c8d,50e219e0,12,12,12,12,,12,
10001264480619467364,0,14102100,0,c357dbff,f1ac7184,373ecbe6,0,0,1002,21689,320,50,2496,3,167,100191,23,84c7ba46,c4e18dd6,50e219e0,24,12,24,24,,12,
10007847530896919634,1,14102100,0,767a174e,3e805b2a,cf19f7f7,0,0,1002,21661,320,50,2446,3,171,100228,156,84c7ba46,c4e18dd6,50e219e0,12,12,12,12,,12,
10014285064795240866,1,14102100,0,c357dbff,06f76b24,373ecbe6,0,0,1002,21682,320,50,2496,3,167,100191,23,84c7ba46,c4e18dd6,50e219e0,24,12,24,24,,12,
10018076683759767024,1,14102100,0,e62f1261,7b485f88,cf19f7f7,0,0,1002,21300,320,50,2446,3,171,100228,156,84c7ba46,c4e18dd6,50e219e0,12,12,12,12,,12,
10018283997673108970,0,14102100,0,03cb167d,3414a157,cf6e17c1,0,0,1002,21665,320,50,2493,3,35,-1,117,75f43c5a,c4e18dd6,50e219e0,12,12,12,12,,12,
10019805607671159208,0,14102100,0,8a869341,b5578fdc,cf19f7f7,0,0,1002,21300,320,50,2446,3,171,100228,156,84c7ba46,c4e18dd6,50e219e0,12,12,12,12,,12,
10024331030544393307,1,14102100,0,2ad16ba3,fb055d92,c978d6f5,0,0,1002,6616,320,50,576,2,35,100131,32,f727f4e0,fcb30e54,50e219e0,12,12,12,12,,12,
