id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
10029329644865739909,1,14102100,1005,1,22d080df,6eb534a7,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,39eab8a9,900981af,1,2,20596,320,50,2161,0,35,-1,157
10203054563543372663,1,14102100,1005,0,6c5b482c,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,2cdf4cae,c4cff2ea,1,0,19016,300,250,2162,2,39,-1,33
10590135920384410160,0,14102100,1005,0,93eaba74,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,6a86ab34,1ccc7835,1,0,17653,300,250,1994,2,39,-1,33
10724638303924227246,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,8fbb9108,3223bcfe,1,0,20366,320,50,2333,0,39,-1,157
11026229628677888892,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,c165324e,d787e91b,1,0,20362,320,50,2333,0,39,-1,157
11223720553142919995,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,4f294eb6,33c9c797,1,0,20366,320,50,2333,0,39,-1,157
11590991803881226140,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,3cd683e2,607e78f2,1,0,20366,320,50,2333,0,39,-1,157
11700348676415802286,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,54c664bf,d787e91b,1,0,20352,320,50,2333,0,39,-1,157
11838895658859690906,0,14102100,1005,0,93eaba74,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,bd14c3d0,77bf3c3c,1,2,19016,300,250,2162,2,39,100062,33
1197455693521451690,0,14102100,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,9c8be3ab,c6263d8a,1,0,17653,300,250,1994,2,39,-1,33
12027817403799107035,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,a20ce13c,24f6b932,1,0,20362,320,50,2333,0,39,-1,157
12111128333777820224,0,14102100,1005,1,11944c42,1a02dd86,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,ff941015,900981af,1,2,20596,320,50,2161,0,35,-1,157
12308376387520564663,0,14102100,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,bf1a957c,c136b9bf,1,0,19015,300,250,2162,2,39,100170,33
12669545353937605213,1,14102100,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,1cf29716,dd701fcb,1,0,17654,300,250,1994,2,39,-1,33
13383770208494965494,1,14102100,1005,0,9f9c8a16,270e16bc,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,26951584,d4897fef,1,0,16208,320,50,1800,3,167,100075,23
13412051459055098211,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,adbcd793,191e9c26,1,0,20366,320,50,2333,0,39,-1,157
13549285638692403984,0,14102100,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,d0aa00c7,d787e91b,1,0,20362,320,50,2333,0,39,-1,157
