id,click,hour,banner_pos,device_id,device_ip,device_model,device_type,device_conn_type,C1,C14,C15,C16,C17,C18,C19,C20,C21,pub_id,pub_domain,pub_category,device_id_cnt,device_ip_cnt,user_cnt,user_hour_cnt,user_click_history,sp1_cnt,user_click_history2
10004510652136496837,0,14102100,0,a99f214a,8a308c73,3223bcfe,1,0,1005,20352,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,804,12,12,12,,12,
10004670021948955159,0,14102100,0,a99f214a,a2d12b33,607e78f2,1,0,1005,20366,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,804,12,12,12,,12,
10005649443863261125,0,14102100,0,a99f214a,50d86760,d787e91b,1,0,1005,20366,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,804,12,12,12,,12,
10006629065800243858,0,14102100,0,a99f214a,6769bdb2,d787e91b,1,0,1005,20362,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,804,24,24,24,,12,
10009635774586344851,0,14102100,0,a99f214a,37018b2d,24f6b932,1,0,1005,20352,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,804,12,12,12,,12,
10011406079394798455,0,14102100,0,a99f214a,9ae68bb9,24f6b932,1,0,1005,20362,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,804,12,12,12,,12,
10012212068904346443,0,14102100,0,a99f214a,6769bdb2,d787e91b,1,0,1005,20352,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,804,24,24,24,,12,
10013222055782902774,0,14102100,0,a99f214a,09b19f16,7eef184d,1,0,1005,17654,300,250,1994,2,39,-1,33,5b08c53b,7687a86e,3e814130,804,12,12,12,,12,
10013330254346467994,0,14102100,0,a99f214a,da162469,8b1aa260,1,0,1005,18993,320,50,2161,0,35,-1,157,f5476ff8,00e1b9c0,3e814130,804,12,12,12,,12,
10015857277683848936,0,14102100,0,a99f214a,6a1a8248,a5fbe35d,1,0,1005,20362,320,50,2333,0,39,-1,157,543a539e,c7ca3108,3e814130,804,12,12,12,,12,
