id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
11877882126952611188,0,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9bec6c28,d787e91b,1,0,17747,320,50,1974,2,39,-1,33
12208995029797540018,0,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f1f02485,0eb711ec,1,0,4687,320,50,423,2,39,100148,32
13978484987143826886,1,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7a736eb1,fce66524,1,0,4687,320,50,423,2,39,100148,32
15880089842153322405,0,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f52aee5e,4af5f36a,1,0,20363,216,36,2333,0,39,-1,157
1735022542802258101,0,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,83aefd46,74de3ee6,1,0,17747,320,50,1974,2,39,100021,33
17691522211357585645,1,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a6fcfe1d,76dc4769,1,0,20362,320,50,2333,0,39,-1,157
18443581216926647594,1,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5328ce6b,96a7c171,1,0,17037,320,50,1934,2,39,-1,16
4834687486925799976,1,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d533dd32,cdf6ea96,1,0,17747,320,50,1974,2,39,-1,33
5546918731774693587,0,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,90de8c6e,7abbbd5c,1,0,20634,320,50,2374,3,39,-1,23
7287987823367672494,0,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,32da6ce1,82a79fff,1,0,20352,320,50,2333,0,39,-1,157
7971632681960513450,0,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f8cb7d38,be74e6fe,1,0,17014,320,50,1872,3,39,-1,23
8569425094256489552,1,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,76919eea,d787e91b,1,0,17264,320,50,1872,3,39,-1,23
10110616052291359923,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8c57e914,2cd8ff6d,1,0,17037,320,50,1934,2,39,-1,16
10448396978379267841,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7a25e9e4,1b13b020,1,0,17037,320,50,1934,2,39,-1,16
10784986817418999175,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2f36f6eb,4abd7cbc,1,0,17037,320,50,1934,2,39,-1,16
11082690135945332774,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8c067def,5f45452b,1,0,17037,320,50,1934,2,39,-1,16
1197908969996290422,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,65407c1e,43836a96,1,0,17262,320,50,1872,3,39,100173,23
12646923500475015337,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,04342863,ae9343b5,1,0,17262,320,50,1872,3,39,-1,23
14063237828872568131,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a45c805f,779d90c2,1,0,17573,320,50,1991,2,39,100083,33
15919052574856154943,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5419d2db,180a896e,1,0,20359,216,36,2333,0,39,-1,157
16554133948412198642,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2ddc0d44,cf7075a3,1,0,17747,320,50,1974,2,39,100019,33
18234254496636532377,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7411328c,4f6a828b,1,0,17037,320,50,1934,2,39,-1,16
1892097507645705741,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9bab6d41,4395dba6,1,0,17747,320,50,1974,2,39,-1,33
2089383164932127282,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5419d2db,180a896e,1,0,20363,216,36,2333,0,39,-1,157
403745670586434069,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b650809a,d4897fef,1,0,4687,320,50,423,2,39,100148,32
4419548788601709339,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,81ea6102,a1a7a957,1,0,17037,320,50,1934,2,39,100119,16
4561887989365563367,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3981e69f,8fa50375,1,0,17037,320,50,1934,2,39,-1,16
5862634205676916232,1,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c3ee60e3,1f0bc64f,1,0,17037,320,50,1934,2,39,-1,16
8296111461376357318,1,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,76919eea,d787e91b,1,0,17263,320,50,1872,3,39,-1,23
9074832795537134293,0,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c62f7206,69f9dd0e,1,0,20980,320,50,2371,0,551,100217,46
9515854377738111681,1,14102101,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,aa502e9b,e9b8d8d7,1,0,17747,320,50,1974,2,39,100021,33
10111006186667709583,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f40d62fc,d787e91b,1,0,17264,320,50,1872,3,39,-1,23
10184373103798781645,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c7f81df0,eee53df3,1,0,17014,320,50,1872,3,39,100128,23
11026854599010391190,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ab0edaea,be74e6fe,1,0,17037,320,50,1934,2,39,-1,16
11864765873240639118,0,14102102,1005,1,e0db3d09,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,564c9e9f,a79f14dc,1,0,19251,320,50,2201,3,35,-1,43
12582277411670331663,1,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8f41d007,7abbbd5c,1,0,4687,320,50,423,2,39,100148,32
13653026561736287147,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e994e8c7,779d90c2,1,0,4687,320,50,423,2,39,100148,32
14481518635276198149,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,09b19f16,d787e91b,1,0,17586,320,50,1991,2,39,-1,33
14982365608381491392,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,637decc5,d787e91b,1,0,17262,320,50,1872,3,39,-1,23
15203700602835910026,1,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,11264157,84ebbcd4,1,0,19998,216,36,2281,3,47,100182,42
15375850396718601712,1,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4955bcf4,81892725,1,0,17262,320,50,1872,3,39,-1,23
15522169688822181744,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,85af63c4,a5a2318d,1,0,20359,216,36,2333,0,39,-1,157
18189276355085340754,1,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f7bddff8,be6db1d7,1,0,4687,320,50,423,2,39,100148,32
18357597100336459172,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a78f1d08,78259b0a,1,0,17037,320,50,1934,2,39,-1,16
4539979880950205818,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2970f26e,04f5b394,1,0,17037,320,50,1934,2,39,-1,16
4955783551870162945,1,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8c067def,1f0bc64f,1,0,17037,320,50,1934,2,39,-1,16
5068402638122483140,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2b86f914,8a4875bd,1,0,15702,320,50,1722,0,35,-1,79
5454322914389617494,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,03d1f11e,2cd8ff6d,1,0,17747,320,50,1974,2,39,-1,33
6210854260744006988,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,29ebae29,180a896e,1,0,20355,216,36,2333,0,39,-1,157
6343022237951054844,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7eb6b04b,e9b8d8d7,1,0,17747,320,50,1974,2,39,-1,33
7199838041668485987,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c76ddfe7,ecf10acf,1,0,17747,320,50,1974,2,39,100021,33
7295133180052070322,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,02033f09,05e70df4,1,0,19998,216,36,2281,3,47,100181,42
7372096170711409443,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d181e69d,649e7a14,1,0,17037,320,50,1934,2,39,-1,16
7468082383504403850,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5c0282a8,8ce34352,1,0,15708,320,50,1722,0,35,100084,79
7963422736033499094,1,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c5b0d374,a5a2318d,1,0,20359,216,36,2333,0,39,100117,157
8709563806898443892,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2a003a04,7abbbd5c,1,0,4687,320,50,423,2,39,100148,32
9164579471937980458,1,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,42d33852,8a6685fe,1,0,17037,320,50,1934,2,39,-1,16
9224915637428932135,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bcde7a67,96a7c171,1,0,19251,320,50,2201,3,35,-1,43
924296390408803590,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1486bb1c,f5351a9b,1,2,17264,320,50,1872,3,39,-1,23
9432999371298154581,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f3765f59,1ebc7efd,1,0,17262,320,50,1872,3,39,-1,23
9577648238505687873,0,14102102,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ff1c4f79,ee007ad3,1,0,15705,320,50,1722,0,35,-1,79
10216571616599115822,0,14102103,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a121a8b8,158e4944,1,0,20277,320,50,2281,3,47,100182,42
10316944702107683550,0,14102103,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,396ab3f5,0fadd2fe,1,0,17586,320,50,1991,2,39,-1,33
10486197537395337462,0,14102103,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,27152a8c,9c7b6730,1,0,15703,320,50,1722,0,35,-1,79
10936597028220147140,1,14102103,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5351a666,4ea23a13,1,0,20966,320,50,2372,0,813,-1,46
