everyDayHour,"avg(cpu)"
"05/08/19_18","20.254444444444445"
"05/08/19_19","22.451527777777777"
"05/08/19_20","16.359259259259257"
"05/08/19_21","10.932777777777778"
"05/08/19_22","3.0479166666666666"
"05/08/19_23","7.469888888888889"
"05/09/19_00","2.591428571428571"
"05/09/19_01","1.6719444444444445"
"05/09/19_02","7.179814814814814"
"05/09/19_03","18.505777777777777"
"05/09/19_04","18.513555555555556"
"05/09/19_05","20.30063492063492"
"05/09/19_06","16.092444444444443"
"05/09/19_07","17.389722222222222"
"05/09/19_08","28.626666666666665"
"05/09/19_09","23.274871794871792"
"05/09/19_10","31.526666666666667"
"05/09/19_11","27.381234567901235"
"05/09/19_12","31.22847222222222"
"05/09/19_13","24.192037037037036"
"05/09/19_14","15.485462962962963"
"05/09/19_15","23.291904761904764"
"05/09/19_16","17.03675925925926"
"05/09/19_17","23.196805555555557"
"05/09/19_18","18.325370370370372"
"05/09/19_19","18.858654970760234"
"05/09/19_20","12.920753968253967"
"05/09/19_21","4.414829059829061"
"05/09/19_22","13.244409722222223"
"05/09/19_23","13.204703703703704"
"05/10/19_00","16.496830065359475"
"05/10/19_01","11.279957264957266"
"05/10/19_02","14.846518518518518"
"05/10/19_03","11.170518518518518"
"05/10/19_04","15.619139784946237"
"05/10/19_05","14.608577777777777"
"05/10/19_06","17.87218954248366"
"05/10/19_07","18.040957854406134"
"05/10/19_08","20.32756272401434"
"05/10/19_09","25.743563218390808"
"05/10/19_10","25.817908496732027"
"05/10/19_11","26.31828282828283"
"05/10/19_12","29.562465277777775"
"05/10/19_13","22.468076923076925"
"05/10/19_14","32.031111111111116"
"05/10/19_15","14.450459770114943"
"05/10/19_16","12.694444444444445"
"05/10/19_17","10.691218637992831"
"05/10/19_18","4.923460317460318"
"05/10/19_19","3.928235294117647"
"05/10/19_20","2.2860153256704985"
"05/10/19_21","2.475065359477124"
"05/10/19_22","3.0308641975308643"
"05/10/19_23","2.0890123456790124"
"05/11/19_00","1.7760360360360359"
"05/11/19_01","2.5148888888888887"
"05/11/19_02","2.9355855855855855"
"05/11/19_03","2.34159891598916"
"05/11/19_04","2.1294135802469136"
"05/11/19_05","1.9568563685636855"
"05/11/19_06","1.3710510510510512"
"05/11/19_07","3.0438888888888895"
"05/11/19_08","2.0658024691358023"
"05/11/19_09","2.4608611111111114"
"05/11/19_10","2.422626262626263"
"05/11/19_11","3.277425474254742"
"05/11/19_12","1.7863888888888886"
"05/11/19_13","3.087946127946128"
"05/11/19_14","3.422642642642642"
"05/11/19_15","2.263133903133903"
"05/11/19_16","1.8903794037940378"
"05/11/19_17","3.1268945868945868"
"05/11/19_18","1.9003903903903903"
"05/11/19_19","2.6089506172839503"
"05/11/19_20","2.7183148148148146"
"05/11/19_21","2.221407407407408"
"05/11/19_22","1.6086111111111112"
"05/11/19_23","2.26062962962963"
"05/12/19_00","4.211740740740741"
"05/12/19_01","1.9732592592592593"
"05/12/19_02","2.452148148148148"
"05/12/19_03","3.4426851851851845"
"05/12/19_04","2.2258333333333336"
"05/12/19_05","0.9785555555555555"
"05/12/19_06","1.0914444444444444"
"05/12/19_07","1.3685"
"05/12/19_08","1.168574074074074"
"05/12/19_09","2.343611111111111"
"05/12/19_10","1.558648148148148"
"05/12/19_11","1.6375185185185184"
"05/12/19_12","2.383462962962963"
"05/12/19_13","2.5313888888888885"
"05/12/19_14","2.6657815442561206"
"05/12/19_15","2.4319444444444445"
"05/12/19_16","2.1670555555555557"
"05/12/19_17","1.4502037037037034"
"05/12/19_18","1.9261481481481484"
"05/12/19_19","2.373351851851852"
"05/12/19_20","2.272870370370371"
"05/12/19_21","2.1544074074074073"
"05/12/19_22","2.4136111111111114"
"05/12/19_23","3.946462962962963"
"05/13/19_00","2.636"
"05/13/19_01","5.306370370370369"
"05/13/19_02","4.520222222222222"
"05/13/19_03","5.875407407407407"
"05/13/19_04","3.4373333333333336"
"05/13/19_05","3.1212037037037037"
"05/13/19_06","2.9351481481481483"
"05/13/19_07","9.005462962962962"
"05/13/19_08","11.804314814814814"
"05/13/19_09","11.81164814814815"
"05/13/19_10","16.89475925925926"
