,Age,workclass,People,Education,EduNum,Marriage,WorkType,Family,Race,Sex,capitalgain,capitalloss,hours,Country,Income
0,39,0,77516,0,13,0,0,0,0,0,2174,0,40,0,0
1,50,1,83311,0,13,1,1,1,0,0,0,0,13,0,0
2,38,2,215646,1,9,2,2,0,0,0,0,0,40,0,0
3,53,2,234721,2,7,1,2,1,1,0,0,0,40,0,0
4,28,2,338409,0,13,1,3,2,1,1,0,0,40,1,0
5,37,2,284582,3,14,1,1,2,0,1,0,0,40,0,0
6,49,2,160187,4,5,3,4,0,1,1,0,0,16,2,0
7,52,1,209642,1,9,1,1,1,0,0,0,0,45,0,1
8,31,2,45781,3,14,0,3,0,0,1,14084,0,50,0,1
9,42,2,159449,0,13,1,1,1,0,0,5178,0,40,0,1
10,37,2,280464,5,10,1,1,1,1,0,0,0,80,0,1
11,30,0,141297,0,13,1,3,1,2,0,0,0,40,3,1
12,23,2,122272,0,13,0,0,3,0,1,0,0,30,0,0
13,32,2,205019,6,12,0,5,0,1,0,0,0,50,0,0
14,40,2,121772,7,11,1,6,1,2,0,0,0,40,4,1
15,34,2,245487,8,4,1,7,1,3,0,0,0,45,5,0
16,25,1,176756,1,9,0,8,3,0,0,0,0,35,0,0
17,32,2,186824,1,9,0,9,4,0,0,0,0,40,0,0
18,38,2,28887,2,7,1,5,1,0,0,0,0,50,0,0
19,43,1,292175,3,14,2,1,4,0,1,0,0,45,0,1
20,40,2,193524,9,16,1,3,1,0,0,0,0,60,0,1
21,54,2,302146,1,9,4,4,4,1,1,0,0,20,0,0
22,35,3,76845,4,5,1,8,1,1,0,0,0,40,0,0
23,43,2,117037,2,7,1,7,1,0,0,0,2042,40,0,0
24,59,2,109015,1,9,2,10,4,0,1,0,0,40,0,0
25,56,4,216851,0,13,1,10,1,0,0,0,0,40,0,1
26,19,2,168294,1,9,0,6,3,0,0,0,0,40,0,0
27,54,5,180211,5,10,1,11,1,2,0,0,0,60,6,1
28,39,2,367260,1,9,2,1,0,0,0,0,0,80,0,0
29,49,2,193366,1,9,1,6,1,0,0,0,0,40,0,0
30,23,4,190709,6,12,0,12,0,0,0,0,0,52,0,0
31,20,2,266015,5,10,0,5,3,1,0,0,0,44,0,0
32,45,2,386940,0,13,2,1,3,0,0,0,1408,40,0,0
33,30,3,59951,5,10,1,0,3,0,0,0,0,40,0,0
34,22,0,311512,5,10,1,4,1,1,0,0,0,15,0,0
35,48,2,242406,2,7,0,9,4,0,0,0,0,40,7,0
36,21,2,197200,5,10,0,9,3,0,0,0,0,40,0,0
37,19,2,544091,1,9,5,0,2,0,1,0,0,25,0,0
38,31,2,84154,5,10,1,5,1,0,0,0,0,38,4,1
39,48,1,265477,6,12,1,3,1,0,0,0,0,40,0,0
40,31,2,507875,4,5,1,9,1,0,0,0,0,43,0,0
41,53,1,88506,0,13,1,3,1,0,0,0,0,40,0,0
42,24,2,172987,0,13,1,10,1,0,0,0,0,50,0,0
43,49,2,94638,1,9,4,0,4,0,1,0,0,40,0,0
44,25,2,289980,1,9,0,2,0,0,0,0,0,35,0,0
45,57,3,337895,0,13,1,3,1,1,0,0,0,40,0,1
46,53,2,144361,1,9,1,9,1,0,0,0,0,38,0,0
47,44,2,128354,3,14,2,1,4,0,1,0,0,40,0,0
48,41,0,101603,7,11,1,6,1,0,0,0,0,40,0,0
49,29,2,271466,7,11,0,3,0,0,0,0,0,43,0,0
50,25,2,32275,5,10,1,1,2,4,1,0,0,40,0,0
51,18,2,226956,1,9,0,4,3,0,1,0,0,30,4,0
52,47,2,51835,10,15,1,3,2,0,1,0,1902,60,8,1
53,50,3,251585,0,13,2,1,0,0,0,0,0,55,0,1
54,47,6,109832,1,9,2,1,0,0,0,0,0,60,0,0
55,43,2,237993,5,10,1,10,1,0,0,0,0,40,0,1
56,46,2,216666,11,3,1,9,1,0,0,0,0,40,5,0
57,35,2,56352,7,11,1,4,1,0,0,0,0,40,7,0
58,41,2,147372,1,9,1,0,1,0,0,0,0,48,0,0
59,30,2,188146,1,9,1,9,1,0,0,5013,0,40,0,0
60,30,2,59496,0,13,1,5,1,0,0,2407,0,40,0,0
61,32,5,293936,8,4,3,11,0,0,0,0,0,40,4,0
62,48,2,149640,1,9,1,7,1,0,0,0,0,40,0,0
63,42,2,116632,9,16,1,3,1,0,0,0,0,45,0,1
64,29,2,105598,5,10,2,10,0,0,0,0,0,58,0,0
65,36,2,155537,1,9,1,6,1,0,0,0,0,40,0,0
66,28,2,183175,5,10,2,0,0,0,1,0,0,40,0,0
67,53,2,169846,1,9,1,0,2,0,1,0,0,40,0,1
68,49,6,191681,5,10,1,1,1,0,0,0,0,50,0,1
69,25,5,200681,5,10,0,11,3,0,0,0,0,40,0,0
70,19,2,101509,5,10,0,3,3,0,0,0,0,32,0,0
