,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,1.0,65.0,8450,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,5,2003,2003,1.0,1.0,1.0,1.0,1.0,196.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,706,1.0,0,150,856,1.0,1.0,1.0,1.0,856,854,0,1710,1,0,2,1,3,1,1.0,8,1.0,0,1.0,1.0,2003.0,1.0,2,548,1.0,1.0,1.0,0,61,0,0,0,0,1.0,1.0,1.0,0,2,2008,1.0,1.0,208500
1,2,20,1.0,80.0,9600,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,6,8,1976,1976,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,978,1.0,0,284,1262,1.0,1.0,1.0,1.0,1262,0,0,1262,0,1,2,0,3,1,2.0,6,1.0,1,2.0,1.0,1976.0,1.0,2,460,1.0,1.0,1.0,298,0,0,0,0,0,1.0,1.0,1.0,0,5,2007,1.0,1.0,181500
2,3,60,1.0,68.0,11250,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,5,2001,2002,1.0,1.0,1.0,1.0,1.0,162.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,486,1.0,0,434,920,1.0,1.0,1.0,1.0,920,866,0,1786,1,0,2,1,3,1,1.0,6,1.0,1,2.0,1.0,2001.0,1.0,2,608,1.0,1.0,1.0,0,42,0,0,0,0,1.0,1.0,1.0,0,9,2008,1.0,1.0,223500
3,4,70,1.0,60.0,9550,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,7,5,1915,1970,1.0,1.0,3.0,3.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,216,1.0,0,540,756,1.0,2.0,1.0,1.0,961,756,0,1717,1,0,1,0,3,1,1.0,7,1.0,1,3.0,2.0,1998.0,2.0,3,642,1.0,1.0,1.0,0,35,272,0,0,0,1.0,1.0,1.0,0,2,2006,1.0,2.0,140000
4,5,60,1.0,84.0,14260,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,8,5,2000,2000,1.0,1.0,1.0,1.0,1.0,350.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,655,1.0,0,490,1145,1.0,1.0,1.0,1.0,1145,1053,0,2198,1,0,2,1,4,1,1.0,9,1.0,1,2.0,1.0,2000.0,1.0,3,836,1.0,1.0,1.0,192,84,0,0,0,0,1.0,1.0,1.0,0,12,2008,1.0,1.0,250000
5,6,50,1.0,85.0,14115,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,5,5,1993,1995,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,732,1.0,0,64,796,1.0,1.0,1.0,1.0,796,566,0,1362,1,0,1,1,1,1,2.0,5,1.0,0,1.0,1.0,1993.0,2.0,2,480,1.0,1.0,1.0,40,30,0,320,0,0,1.0,2.0,2.0,700,10,2009,1.0,1.0,143000
6,7,20,1.0,75.0,10084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,8,5,2004,2005,1.0,1.0,1.0,1.0,3.0,186.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1369,1.0,0,317,1686,1.0,1.0,1.0,1.0,1694,0,0,1694,1,0,2,0,3,1,1.0,7,1.0,1,3.0,1.0,2004.0,1.0,2,636,1.0,1.0,1.0,255,57,0,0,0,0,1.0,1.0,1.0,0,8,2007,1.0,1.0,307000
7,8,60,1.0,0.0,10382,1.0,1.0,2.0,1.0,1.0,3.0,1.0,7.0,3.0,1.0,1.0,1.0,7,6,1973,1973,1.0,1.0,4.0,4.0,3.0,240.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,859,2.0,32,216,1107,1.0,1.0,1.0,1.0,1107,983,0,2090,1,0,2,1,3,1,2.0,7,1.0,2,2.0,1.0,1973.0,1.0,2,484,1.0,1.0,1.0,235,204,228,0,0,0,1.0,1.0,2.0,350,11,2009,1.0,1.0,200000
8,9,50,2.0,51.0,6120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,4.0,1.0,1.0,3.0,7,5,1931,1950,1.0,1.0,5.0,3.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,0,1.0,0,952,952,1.0,2.0,1.0,2.0,1022,752,0,1774,0,0,2,0,2,2,2.0,8,2.0,2,2.0,2.0,1931.0,2.0,2,468,2.0,1.0,1.0,90,0,205,0,0,0,1.0,1.0,1.0,0,4,2008,1.0,2.0,129900
9,10,190,1.0,50.0,7420,1.0,1.0,1.0,1.0,1.0,3.0,1.0,9.0,4.0,2.0,2.0,4.0,5,6,1939,1950,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,851,1.0,0,140,991,1.0,1.0,1.0,1.0,1077,0,0,1077,1,0,1,0,2,2,2.0,5,1.0,2,2.0,1.0,1939.0,1.0,1,205,3.0,1.0,1.0,0,4,0,0,0,0,1.0,1.0,1.0,0,1,2008,1.0,1.0,118000
